bathrooms,bedrooms,has_photo,price,square_feet,latitude,longitude,pets_cats,pets_dogs,pets_none,amenities_count,age_in_days,post_hour,post_day_of_week
1.0,0,1,1390,107,38.891,-77.0816,0,0,1,0,0,11,3
1.0,0,1,925,116,47.616,-122.3275,0,0,1,0,8,11,2
1.0,0,1,2475,130,40.7629,-73.9885,0,0,1,5,0,16,2
1.0,0,1,1495,138,37.7599,-122.4379,0,0,1,1,0,11,3
1.0,0,1,1695,190,37.7599,-122.4379,0,0,1,1,4,11,6
1.0,1,1,1560,200,35.0847,-77.0609,1,1,0,8,8,21,1
1.0,1,1,1560,200,35.096,-77.0272,1,1,0,8,11,10,6
1.0,1,1,1000,200,30.0871,-95.4685,0,0,1,0,4,11,6
1.0,1,1,950,200,38.1172,-122.2313,0,0,1,0,0,11,3
1.0,1,1,625,200,33.9649,-84.5107,0,0,1,1,0,11,3
1.0,1,1,600,200,35.2016,-80.8124,0,0,1,0,12,11,5
1.0,1,1,544,200,30.4601,-84.2714,0,0,1,7,0,11,3
1.0,1,1,450,200,33.5178,-112.0848,0,0,1,1,4,11,6
1.0,1,1,750,215,27.8492,-82.3155,0,0,1,0,4,11,6
1.0,1,1,2000,219,32.8956,-85.4351,0,0,1,0,0,11,3
1.0,1,1,1400,219,37.7599,-122.4379,0,0,1,0,0,11,3
1.0,1,1,1095,219,39.1634,-76.6165,0,0,1,0,0,11,3
1.0,1,1,915,219,39.5816,-105.0387,0,0,1,1,4,11,6
1.0,1,1,900,219,38.621,-76.9225,0,0,1,1,4,11,6
1.0,1,1,865,219,27.8492,-82.3155,0,0,1,1,4,11,6
1.0,1,1,725,219,39.6828,-104.8078,0,0,1,0,4,11,6
1.0,1,1,650,219,38.7418,-77.4684,0,0,1,0,0,11,3
1.0,1,1,650,219,33.7416,-84.2614,0,0,1,0,4,11,6
1.0,1,1,645,219,28.0076,-82.4792,0,0,1,0,0,11,3
1.0,1,1,595,219,35.1038,-106.611,0,0,1,0,0,11,3
1.0,0,1,1195,223,47.616,-122.3275,1,1,0,0,0,11,3
1.0,0,1,1150,225,47.616,-122.3275,0,0,1,0,0,11,3
1.0,1,1,942,225,41.8625,-87.6825,1,0,0,5,0,11,3
1.0,0,1,1250,228,47.616,-122.3275,1,1,0,0,0,11,3
1.0,1,1,800,230,35.224,-81.1809,0,0,1,0,8,10,2
1.0,1,1,685,230,27.7011,-82.3178,0,0,1,0,4,11,6
1.0,1,1,525,230,35.1211,-89.9517,1,1,0,0,0,11,3
1.0,0,1,1095,231,47.616,-122.3275,1,0,0,0,0,11,3
1.0,0,1,1695,232,37.7599,-122.4379,1,1,0,2,0,11,3
1.0,1,1,775,240,48.7871,-122.4437,1,0,0,0,0,11,3
1.0,0,1,1299,243,47.616,-122.3275,1,1,0,0,0,11,3
1.0,1,1,705,245,61.1723,-149.8414,1,1,0,1,0,11,3
1.0,1,1,1800,250,37.6019,-122.4863,0,0,1,0,4,11,6
1.0,1,1,1600,250,33.9855,-118.4532,0,0,1,1,12,11,5
1.0,1,1,1500,250,37.7599,-122.4379,0,0,1,0,0,11,3
1.0,1,1,1330,250,34.145,-118.3898,0,0,1,0,4,11,6
1.0,1,1,1310,250,34.2805,-118.8861,0,0,1,0,0,11,3
1.0,1,1,1300,250,33.8363,-118.333,0,0,1,1,4,11,6
1.0,1,1,1295,250,38.5587,-121.432,0,0,1,0,4,11,6
1.0,1,1,1255,250,34.2017,-118.492,0,0,1,1,12,11,5
1.0,1,1,1250,250,47.616,-122.3275,0,0,1,0,4,11,6
1.0,1,1,1250,250,34.1881,-118.3905,0,0,1,0,16,11,1
1.0,1,1,1200,250,39.736,-104.9819,0,0,1,0,4,11,6
1.0,1,1,1200,250,39.6828,-104.8078,0,0,1,0,4,11,6
1.0,1,1,1175,250,37.9353,-121.6935,0,0,1,0,0,11,3
1.0,1,1,1155,250,37.9917,-122.5247,0,0,1,0,4,11,6
1.0,1,1,1150,250,39.1088,-77.2384,0,0,1,1,4,11,6
1.0,1,1,1145,250,42.6484,-71.1615,0,0,1,1,0,11,3
1.0,1,1,1135,250,37.7904,-122.2151,0,0,1,0,0,11,3
1.0,1,1,1115,250,37.9724,-122.3304,0,0,1,0,0,11,3
1.0,0,1,1095,250,41.8625,-87.6825,0,0,1,0,3,12,6
1.0,1,1,1090,250,38.7999,-77.1072,0,0,1,0,0,11,3
1.0,1,1,1075,250,41.8625,-87.6825,0,0,1,0,4,11,6
1.0,1,1,1050,250,34.2009,-118.8636,0,0,1,1,0,11,3
1.0,1,1,1050,250,39.736,-104.9819,0,0,1,0,0,11,3
1.0,1,1,1045,250,38.786,-77.2858,0,0,1,0,4,11,6
1.0,1,1,1025,250,47.5988,-122.1507,0,0,1,0,0,11,3
1.0,1,1,1005,250,38.3918,-121.2234,0,0,1,0,4,11,6
1.0,1,1,1000,250,34.1677,-118.6141,0,0,1,0,0,11,3
1.0,1,1,1000,250,25.7603,-80.3005,0,0,1,0,0,11,3
1.0,1,1,1000,250,38.9633,-76.9375,0,0,1,0,0,11,3
1.0,1,1,1000,250,39.8644,-105.0454,0,0,1,0,4,11,6
1.0,1,1,1000,250,39.6828,-104.8078,0,0,1,0,4,11,6
1.0,1,1,1000,250,39.8228,-105.1107,0,0,1,0,4,11,6
1.0,1,1,1000,250,33.7606,-118.0806,0,0,1,0,8,10,2
1.0,1,1,975,250,33.1463,-117.1694,0,0,1,1,0,11,3
1.0,1,1,965,250,39.8587,-74.8101,0,0,1,0,4,11,6
1.0,1,1,955,250,39.1634,-76.6165,0,0,1,0,0,11,3
1.0,1,1,950,250,39.5816,-105.0387,0,0,1,0,4,11,6
1.0,1,1,950,250,39.6828,-104.8078,0,0,1,0,4,11,6
1.0,1,1,930,250,37.9682,-122.0091,0,0,1,0,4,11,6
1.0,1,1,925,250,39.9999,-105.0993,0,0,1,0,0,11,3
1.0,1,1,925,250,32.6197,-117.0226,0,0,1,0,4,11,6
1.0,1,1,925,250,39.1634,-76.6165,0,0,1,1,4,11,6
1.0,1,1,915,250,39.5516,-104.969,0,0,1,0,0,11,3
1.0,1,1,900,250,39.0976,-76.8614,0,0,1,1,0,11,3
1.0,1,1,900,250,28.5163,-81.3644,0,0,1,1,0,11,3
1.0,1,1,900,250,40.0213,-105.2552,0,0,1,0,0,11,3
1.0,1,1,900,250,39.6828,-104.8078,0,0,1,0,4,11,6
1.0,1,1,900,250,34.0291,-117.9457,0,0,1,1,8,10,2
1.0,1,1,900,250,33.8323,-117.9079,0,0,1,0,16,11,1
1.0,1,1,895,250,39.8312,-104.8942,0,0,1,0,4,11,6
1.0,1,1,895,250,39.8228,-105.1107,0,0,1,0,4,11,6
1.0,1,1,875,250,38.8738,-77.1055,0,0,1,0,4,11,6
1.0,1,1,865,250,26.1806,-81.7257,0,0,1,0,0,11,3
1.0,1,1,865,250,33.7848,-84.3922,0,0,1,1,0,11,3
1.0,1,1,860,250,27.3181,-82.4987,0,0,1,1,0,11,3
1.0,1,1,855,250,39.6828,-104.8078,0,0,1,0,0,11,3
1.0,1,1,850,250,38.69,-77.2065,0,0,1,1,0,11,3
1.0,1,1,850,250,40.0994,-104.8079,0,0,1,4,0,11,3
1.0,1,1,850,250,38.6487,-77.3152,0,0,1,1,0,11,3
1.0,1,1,850,250,36.137,-86.783,0,0,1,0,0,11,3
1.0,1,1,850,250,27.7873,-82.6772,0,0,1,0,4,11,6
1.0,1,1,850,250,45.5091,-122.6449,0,0,1,0,4,11,6
1.0,1,1,825,250,39.4324,-76.3552,0,0,1,0,4,11,6
1.0,1,1,805,250,33.7848,-84.3922,0,0,1,1,0,11,3
1.0,1,1,800,250,39.9156,-105.0876,0,0,1,0,0,11,3
1.0,1,1,800,250,39.6169,-104.919,0,0,1,1,0,11,3
1.0,1,1,800,250,39.0287,-77.2409,0,0,1,0,0,11,3
1.0,1,1,800,250,28.905,-81.2156,0,0,1,0,0,11,3
1.0,1,1,800,250,38.1255,-121.2878,0,0,1,0,0,11,3
1.0,1,1,800,250,30.2989,-81.6324,0,0,1,0,4,11,6
1.0,1,1,795,250,39.4904,-104.7265,0,0,1,0,0,11,3
1.0,1,1,785,250,38.6968,-104.6969,0,0,1,0,0,11,3
1.0,1,1,785,250,40.5649,-105.0824,0,0,1,0,0,11,3
1.0,1,1,760,250,40.4067,-105.0984,0,0,1,0,0,11,3
1.0,1,1,755,250,28.7026,-81.3885,0,0,1,1,0,11,3
1.0,1,1,755,250,39.6103,-75.6896,0,0,1,0,0,11,3
1.0,1,1,755,250,40.2776,-76.7088,0,0,1,0,0,11,3
1.0,1,1,750,250,33.945,-117.4074,0,0,1,0,0,11,3
1.0,1,1,750,250,27.2897,-80.3421,0,0,1,0,0,11,3
1.0,1,1,750,250,39.1774,-77.2569,0,0,1,1,0,11,3
1.0,1,1,750,250,35.2016,-80.8124,0,0,1,0,8,10,2
1.0,1,1,725,250,36.137,-86.783,0,0,1,0,0,11,3
1.0,1,1,725,250,33.8691,-84.7686,0,0,1,0,4,11,6
1.0,1,1,720,250,29.4782,-98.2759,0,0,1,0,0,11,3
1.0,1,1,705,250,29.7714,-95.4343,0,0,1,1,0,11,3
1.0,1,1,700,250,33.4234,-111.5415,0,0,1,1,0,11,3
1.0,1,1,700,250,30.3054,-97.7497,0,0,1,1,0,11,3
1.0,1,1,700,250,39.9156,-105.0876,0,0,1,0,0,11,3
1.0,1,1,700,250,33.5783,-111.8902,0,0,1,1,0,11,3
1.0,1,1,700,250,28.5163,-81.3644,0,0,1,0,0,11,3
